,Host,Parasite,ParasiteFull,group,hostgroup
5179,Notolabrus parilus,Hypoechinorhynchus robustus,"Hypoechinorhynchus robustus Pichelin, 1999",Acanthocephalans,Teleostei
5180,Psettodes erumei,Longicollum psettodensai,"Longicollum psettodensai Gupta & Gupta, 1979",Acanthocephalans,Teleostei
5181,Belone choram,Longicollum quiloni,"Longicollum quiloni Gupta & Naqvi, 1986",Acanthocephalans,NA
5182,Clupea longiceps,Mehrarhynchus clupei,"Mehrarhynchus clupei Gupta & Sinha, 1992",Acanthocephalans,NA
5183,Mugil tade,Mehrarhynchus inglisi,"Mehrarhynchus inglisi Gupta & Fatma, 1987",Acanthocephalans,NA
5184,Pangasius pangasius,Mehrarhynchus prashadi,"Mehrarhynchus prashadi Datta, 1940",Acanthocephalans,Teleostei
5185,Pama pama,Mehrarhynchus puriensis,"Mehrarhynchus puriensis Gupta & Sinha, 1992",Acanthocephalans,NA
5186,Osteogeneiosus militaris,Mehrarhynchus secundus,"Mehrarhynchus secundus Tripathi, 1956",Acanthocephalans,Teleostei
5187,Pama pama,Mehrarhynchus secundus,"Mehrarhynchus secundus Tripathi, 1956",Acanthocephalans,NA
5188,Plotosus canius,Mehrarhynchus secundus,"Mehrarhynchus secundus Tripathi, 1956",Acanthocephalans,Teleostei
5189,Echeneis naucrates,Metarhadinorhynchus echeneisi,"Metarhadinorhynchus echeneisi Gupta & Sinha, 1991",Acanthocephalans,Teleostei
5190,Arius platystomus,Metarhadinorhynchus thaparus,"Metarhadinorhynchus thaparus Gupta & Gupta, 1975",Acanthocephalans,Teleostei
5191,Carangoides malabaricus,Metarhadinorhynchus valiyathurae,"Metarhadinorhynchus valiyathurae Nadakal, John & Jacob, 1990",Acanthocephalans,Teleostei
5192,Caranx melampygus,Metarhadinorhynchus valiyathurae,"Metarhadinorhynchus valiyathurae Nadakal, John & Jacob, 1990",Acanthocephalans,Teleostei
5193,Caranx nigripinnis,Metarhadinorhynchus valiyathurae,"Metarhadinorhynchus valiyathurae Nadakal, John & Jacob, 1990",Acanthocephalans,NA
5194,Arius platystomus,Micracanthorhynchina golvani,"Micracanthorhynchina golvani Gupta & Sinha, 1992",Acanthocephalans,Teleostei
5195,Hemirhamphus marginatus,Micracanthorhynchina kuwaitensis,"Micracanthorhynchina kuwaitensis Amin & Sey, 1996",Acanthocephalans,NA
5196,Pseudosciaena diacanthus,Neoechinorhynchus johni,"Neoechinorhynchus johni Bilqees, 1971",Acanthocephalans,NA
5197,Nibea semifasciata,Neoechinorhynchus johnii,"Neoechinorhynchus johnii Yamaguti, 1939",Acanthocephalans,Teleostei
5198,Pseudosciaena diacanthus,Neoechinorhynchus johnii,"Neoechinorhynchus johnii Yamaguti, 1939",Acanthocephalans,NA
5199,Pseudoscion diacanthus,Neoechinorhynchus johnii,"Neoechinorhynchus johnii Yamaguti, 1939",Acanthocephalans,NA
5200,Elops saurus,Neoechinorhynchus ovalis,"Neoechinorhynchus ovalis Tripathi, 1956",Acanthocephalans,Teleostei
5201,Scarus ghobban,Neoechinorhynchus qatarensis,"Neoechinorhynchus qatarensis Amin, Saoud & Alkuwari, 2002",Acanthocephalans,Teleostei
5202,Psettodes erumei,Nipporhynchus erumeii,"Nipporhynchus erumeii Gupta & Fatma,",Acanthocephalans,Teleostei
5203,Clupea longiceps,Pallisentis clupei,"Pallisentis clupei Gupta & Gupta, 1979",Acanthocephalans,NA
5204,Clupea longiceps,Pallisentis fotedari,"Pallisentis fotedari Gupta & Sinha, 1992",Acanthocephalans,NA
5205,Carangoides malabaricus,Pseudorhadinorhynchus cochinensis,"Pseudorhadinorhynchus cochinensis Gupta & Naqvi, 1984",Acanthocephalans,Teleostei
5206,Ariodes dussumieri,Pseudorhadinorhynchus dussumieri,"Pseudorhadinorhynchus dussumieri Gupta & Gupta, 1972",Acanthocephalans,NA
5207,Therapon jarbua,Pseudorhadinorhynchus eranakulensis,"Pseudorhadinorhynchus eranakulensis Gupta & Gupta, 1972",Acanthocephalans,NA
5208,Engraulis malabaricus,Pseudorhadinorhynchus longicollum,"Pseudorhadinorhynchus longicollum Gupta & Naqvi, 1986",Acanthocephalans,NA
5209,Stromateus cinereus,Raorhynchus cadenati,"Raorhynchus cadenati Gupta & Singh, 1992",Acanthocephalans,NA
5210,Pelamys chilensis,Rhadinorhynchus dollfusi,"Rhadinorhynchus dollfusi Gupta & Fatma, 1989",Acanthocephalans,NA
5211,Echeneis naucrates,Metarhadinorhynchus echeneisi,"Metarhadinorhynchus echeneisi Gupta & Sinha, 1991",Acanthocephalans,Teleostei
5212,Echeneis neuocrates,Rhadinorhynchus echeneisi,"Rhadinorhynchus echeneisi Gupta & Gupta, 1979",Acanthocephalans,NA
5213,Auxis thazard,Rhadinorhynchus ganapatii,"Rhadinorhynchus ganapatii Chandra, 1985",Acanthocephalans,Teleostei
5214,Euthynnus affinis,Rhadinorhynchus ganapatii,"Rhadinorhynchus ganapatii Chandra, 1985",Acanthocephalans,Teleostei
5215,Arius gagora,Rhadinorhynchus indicus,"Rhadinorhynchus indicus Tripathi, 1956",Acanthocephalans,Teleostei
5216,Osteogeneiosus militaris,Rhadinorhynchus indicus,"Rhadinorhynchus indicus Tripathi, 1956",Acanthocephalans,Teleostei
5217,Pelamys chilensis,Rhadinorhynchus pelamysi,"Rhadinorhynchus pelamysi Gupta & Gupta, 1979",Acanthocephalans,NA
5218,Plotosus lineatus,Rhadinorhynchus plotosi,"Rhadinorhynchus plotosi Parukhin, 1985",Acanthocephalans,Teleostei
5219,Engraulis malabaricus,Serrasentis engraulisi,"Serrasentis engraulisi Gupta & Gupta, 1979",Acanthocephalans,NA
5220,Cybium guttatum,Serrasentis giganticus,"Serrasentis giganticus Bilqees, 1973",Acanthocephalans,NA
5221,Muraenesox cinereus,Serrasentis giganticus,"Serrasentis giganticus Bilqees, 1973",Acanthocephalans,Teleostei
5222,Pseudosciaena diacanthus,Serrasentis giganticus,"Serrasentis giganticus Bilqees, 1973",Acanthocephalans,NA
5223,Rachycentron canadum,Serrasentis giganticus,"Serrasentis giganticus Bilqees, 1973",Acanthocephalans,Teleostei
5224,Chelon dussumieri,Serrasentis golvani,"Serrasentis golvani Gupta & Kumar, 1989",Acanthocephalans,NA
5225,Elops saurus,Serrasentis indicus,"Serrasentis indicus Singh, Agarwal & Lakshmi, 1998",Acanthocephalans,Teleostei
5226,Netuma bilineatus,Serrasentis longiformis,"Serrasentis longiformis Bilqees, 1974",Acanthocephalans,NA
5227,Muraenesox cinereus,Serrasentis longiformis,"Serrasentis longiformis Bilqees, 1974",Acanthocephalans,Teleostei
5228,Parastromateus niger,Serrasentis longiformis,"Serrasentis longiformis Bilqees, 1974",Acanthocephalans,Teleostei
5229,Netuma bilineatus,Serrasentis longus,"Serrasentis longus Bilqees, 1972",Acanthocephalans,NA
5230,Gomphosus coeruleus,Serrasentis mujibi,"Serrasentis mujibi Bilqees, 1972",Acanthocephalans,NA
5231,Psenes indicus,Serrasentis psenesi,"Serrasentis psenesi Gupta & Gupta, 1979",Acanthocephalans,NA
5232,Johnius dussumieri,Serrasentis sciaenus,"Serrasentis sciaenus Bilqees, 1972",Acanthocephalans,Teleostei
5233,Lagocephalus lunaris,Slendrorhynchus breviclaviproboscis,"Slendrorhynchus breviclaviproboscis Amin & Sey, 1996",Acanthocephalans,Teleostei
5234,Leiognathus bindus,Slendrorhynchus breviclaviproboscis,"Slendrorhynchus breviclaviproboscis Amin & Sey, 1996",Acanthocephalans,Teleostei
5235,Lutjanus lioglossus,Telosentis lutianusi,"Telosentis lutianusi Gupta & Gupta, 1990",Acanthocephalans,NA
5236,Triacanthus biaculeatus,Tenuiproboscis bilqeesae,"Tenuiproboscis bilqeesae Gupta & Naqvi, 1992",Acanthocephalans,Teleostei
5237,Clupea longiceps,Tenuiproboscis clupei,"Tenuiproboscis clupei Gupta & Sinha, 1992",Acanthocephalans,NA
5238,Sciaenoides microdon,Tenuiproboscis edmondi,"Tenuiproboscis edmondi Gupta & Naqvi, 1992",Acanthocephalans,NA
5239,Scatophagus argus,Tenuiproboscis ernakulensis,"Tenuiproboscis ernakulensis Gupta & Naqvi, 1992",Acanthocephalans,Teleostei
5240,Gerres setifer,Tenuiproboscis guptai,"Tenuiproboscis guptai Gupta & Sinha, 1990",Acanthocephalans,Teleostei
5241,Pristipoma quoraka,Tenuiproboscis sergenti,"Tenuiproboscis sergenti Choquette & Gayot, 1952",Acanthocephalans,NA
5242,Chaunax pictus,Yamagutisentis delamuri,"Yamagutisentis delamuri Parukhin, 1989",Acanthocephalans,Teleostei
5243,Gypsophoca dorifera,Andracantha clavata,"Andracantha clavata (Goss, 1940)",Acanthocephalans,NA
5244,Microcarbo melanoleucus,Andracantha clavata,"Andracantha clavata (Goss, 1940)",Acanthocephalans,NA
5245,Phalacrocorax ater,Andracantha clavata,"Andracantha clavata (Goss, 1940)",Acanthocephalans,NA
5246,Leucocarbo atriceps,Andracantha clavata,"Andracantha clavata (Goss, 1940)",Acanthocephalans,NA
5247,Leucocarbo atriceps,Andracantha clavata,"Andracantha clavata (Goss, 1940)",Acanthocephalans,NA
5248,Leucocarbo colensoi,Andracantha clavata,"Andracantha clavata (Goss, 1940)",Acanthocephalans,NA
5249,Phalacrocorax varius,Andracantha clavata,"Andracantha clavata (Goss, 1940)",Acanthocephalans,Aves
5250,Leucocarbo verrucosus,Andracantha clavata,"Andracantha clavata (Goss, 1940)",Acanthocephalans,NA
5251,Platycephalus fuscus,Andracantha clavata,"Andracantha clavata (Goss, 1940)",Acanthocephalans,Teleostei
5252,Chaenocephalus aceratus,Corynosoma evae,"Corynosoma evae Zdzitowiecki, 1984",Acanthocephalans,Teleostei
5253,Hydrurga leptonyx,Corynosoma evae,"Corynosoma evae Zdzitowiecki, 1984",Acanthocephalans,Mammalia
5254,Otaria flavescens,Corynosoma evae,"Corynosoma evae Zdzitowiecki, 1984",Acanthocephalans,Mammalia
5255,Parachaenichthys georgianus,Corynosoma evae,"Corynosoma evae Zdzitowiecki, 1984",Acanthocephalans,Teleostei
5256,Pseudochaenichthys georgianus,Corynosoma evae,"Corynosoma evae Zdzitowiecki, 1984",Acanthocephalans,Teleostei
5257,Hydrurga leptonyx,Corynosoma hannae,"Corynosoma hannae Zdzitowiecki, 1984",Acanthocephalans,Mammalia
5258,Muraenolepis microps,Echinorhynchus muraenolepisi,"Echinorhynchus muraenolepisi (Rodjuk, 1984)",Acanthocephalans,Teleostei
5259,Muraenolepis microps,Metechinorhynchus muraenolepisi,"Metechinorhynchus muraenolepisi Rodjuk, 1884",Acanthocephalans,Teleostei
5260,Muraenolepis microps,Metechinorhynchus muraenolepisi,"Metechinorhynchus muraenolepisi Rodjuk, 1884",Acanthocephalans,Teleostei
5261,Anthus pratensis,Acanthocirrus macrorostratus,"Acanthocirrus macrorostratus Fuhrmann, 1907",Cestodes,Aves
5262,Scolopax gallinago,Acanthocirrus multicanalis,"Acanthocirrus multicanalis Baczynska, 1914",Cestodes,NA
5263,Allactaga elater,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5264,Vulpes lagopus,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,NA
5265,Apodemus agrarius,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5266,Apodemus sylvaticus,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5267,Arvicola amphibius,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5268,Canis lupus,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5269,Castor fiber,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5270,Chionomys roberti,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5271,Urocitellus undulatus,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,NA
5272,Myodes glareolus,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,NA
5273,Myodes rutilus,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,NA
5274,Cricetus cricetus,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5275,Dicrostonyx torquatus,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5276,Lagurus lagurus,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5277,Lemmus sibiricus,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5278,Lemmus sibiricus,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5279,Marmota bobak,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5280,Meriones unguiculatus,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5281,Microtus arvalis,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5282,Microtus gregalis,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5283,Chionomys gud,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5284,Microtus oeconomus,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5285,Microtus socialis,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5286,Mus musculus,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5287,Neomys fodiens,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5288,Ondatra zibethicus,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5289,Rattus norvegicus,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5290,Sorex araneus,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5291,Vulpes vulpes,Alveococcus multilocularis,"Alveococcus multilocularis (Leuckart, 1863)",Cestodes,Mammalia
5292,Picus awogera,Amoebotaenia awogera,"Amoebotaenia awogera Yamaguti, 1956",Cestodes,NA
5293,Picus awokera,Amoebotaenia awogera,"Amoebotaenia awogera Yamaguti, 1956",Cestodes,Aves
5294,Gallus gallus,Amoebotaenia cohni,"Amoebotaenia cohni Kalyankar & Palladwar, 1977",Cestodes,Aves
5295,Allolobophora caliginosa,Amoebotaenia cuneata,"Amoebotaenia cuneata (Linstow, 1872)",Cestodes,NA
5296,Eisenia rosea,Amoebotaenia cuneata,"Amoebotaenia cuneata (Linstow, 1872)",Cestodes,NA
5297,Gallus ferrugineus,Amoebotaenia cuneata,"Amoebotaenia cuneata (Linstow, 1872)",Cestodes,NA
5298,Gallus gallus,Amoebotaenia cuneata,"Amoebotaenia cuneata (Linstow, 1872)",Cestodes,Aves
5299,Gallus gallus,Amoebotaenia cuneata,"Amoebotaenia cuneata (Linstow, 1872)",Cestodes,Aves
5300,Gallus gallus,Amoebotaenia cuneata,"Amoebotaenia cuneata (Linstow, 1872)",Cestodes,Aves
5301,Lumbriculus variegatus,Amoebotaenia cuneata,"Amoebotaenia cuneata (Linstow, 1872)",Cestodes,Clitellata
5302,Lumbricus terrestris,Amoebotaenia cuneata,"Amoebotaenia cuneata (Linstow, 1872)",Cestodes,Clitellata
5303,Numida meleagris,Amoebotaenia cuneata,"Amoebotaenia cuneata (Linstow, 1872)",Cestodes,Aves
5304,Perdix perdix,Amoebotaenia cuneata,"Amoebotaenia cuneata (Linstow, 1872)",Cestodes,Aves
5305,Gallus gallus,Amoebotaenia longisacculus,"Amoebotaenia longisacculus Yamaguti, 1956",Cestodes,Aves
5306,Gallus gallus,Amoebotaenia maharashtri,"Amoebotaenia maharashtri Shinde, 1972",Cestodes,Aves
5307,Gallus gallus,Amoebotaenia megascolecis,"Amoebotaenia megascolecis Shinde, 1972",Cestodes,Aves
5308,Gallus gallus,Amoebotaenia oligorchis,"Amoebotaenia oligorchis (Yamaguti, 1935)",Cestodes,Aves
5309,Lobipluvia malabarica,Amoebotaenia setosa,"Amoebotaenia setosa Burt, 1940",Cestodes,NA
5310,Arvicola amphibius,Aprostatandrya microti,"Aprostatandrya microti (Hansen, 1947)",Cestodes,Mammalia
5311,Myodes glareolus,Aprostatandrya microti,"Aprostatandrya microti (Hansen, 1947)",Cestodes,NA
5312,Myodes rufocanus,Aprostatandrya microti,"Aprostatandrya microti (Hansen, 1947)",Cestodes,NA
5313,Myodes rutilus,Aprostatandrya microti,"Aprostatandrya microti (Hansen, 1947)",Cestodes,NA
5314,Microtus agrestis,Aprostatandrya microti,"Aprostatandrya microti (Hansen, 1947)",Cestodes,Mammalia
5315,Microtus maximowiczii,Aprostatandrya microti,"Aprostatandrya microti (Hansen, 1947)",Cestodes,Mammalia
5316,Microtus oeconomus,Aprostatandrya microti,"Aprostatandrya microti (Hansen, 1947)",Cestodes,Mammalia
5317,Myopus schisticolor,Aprostatandrya microti,"Aprostatandrya microti (Hansen, 1947)",Cestodes,Mammalia
5318,Anas crecca,Anomotaenia ciliata,"Anomotaenia ciliata Fuhrmann, 1913",Cestodes,Aves
5319,Anas platyrhynchos,Anomotaenia ciliata,"Anomotaenia ciliata Fuhrmann, 1913",Cestodes,Aves
5320,Aythya ferina,Anomotaenia ciliata,"Anomotaenia ciliata Fuhrmann, 1913",Cestodes,Aves
5321,Aythya fuligula,Anomotaenia ciliata,"Anomotaenia ciliata Fuhrmann, 1913",Cestodes,Aves
5322,Aythya nyroca,Anomotaenia ciliata,"Anomotaenia ciliata Fuhrmann, 1913",Cestodes,Aves
5323,Cygnus olor,Anomotaenia ciliata,"Anomotaenia ciliata Fuhrmann, 1913",Cestodes,Aves
5324,Gavia stellata,Anomotaenia ciliata,"Anomotaenia ciliata Fuhrmann, 1913",Cestodes,Aves
5325,Chlidonias nigra,Anomotaenia micracantha,"Anomotaenia micracantha (Krabbe, 1869)",Cestodes,NA
5326,Gavia arctica,Anomotaenia micracantha,"Anomotaenia micracantha (Krabbe, 1869)",Cestodes,Aves
5327,Larus canus,Anomotaenia micracantha,"Anomotaenia micracantha (Krabbe, 1869)",Cestodes,Aves
5328,Larus hyperboreus,Anomotaenia micracantha,"Anomotaenia micracantha (Krabbe, 1869)",Cestodes,Aves
5329,Hydrocoloeus minutus,Anomotaenia micracantha,"Anomotaenia micracantha (Krabbe, 1869)",Cestodes,NA
5330,Chroicocephalus ridibundus,Anomotaenia micracantha,"Anomotaenia micracantha (Krabbe, 1869)",Cestodes,NA
5331,Pagophila eburnea,Anomotaenia micracantha,"Anomotaenia micracantha (Krabbe, 1869)",Cestodes,Aves
5332,Rissa tridactyla,Anomotaenia micracantha,"Anomotaenia micracantha (Krabbe, 1869)",Cestodes,Aves
5333,Rissa tridactyla,Anomotaenia micracantha,"Anomotaenia micracantha micracantha (Krabbe, 1869)",Cestodes,Aves
5334,Uria troile,Anomotaenia socalis,"Anomotaenia socalis Krabbe, 1869",Cestodes,NA
5335,Ceratotherium simum,Anoplocephala magna,"Anoplocephala magna (Abildgaard, 1789)",Cestodes,Mammalia
5336,Equus quagga,Anoplocephala magna,"Anoplocephala magna (Abildgaard, 1789)",Cestodes,Mammalia
5337,Equus caballus,Anoplocephala magna,"Anoplocephala magna (Abildgaard, 1789)",Cestodes,Mammalia
5338,Equus hemionus,Anoplocephala magna,"Anoplocephala magna (Abildgaard, 1789)",Cestodes,Mammalia
5339,Equus asinus,Anoplocephala perfoliata,"Anoplocephala perfoliata Goeze, 1782",Cestodes,Mammalia
5340,Equus quagga,Anoplocephala perfoliata,"Anoplocephala perfoliata Goeze, 1782",Cestodes,Mammalia
5341,Equus caballus,Anoplocephala perfoliata,"Anoplocephala perfoliata Goeze, 1782",Cestodes,Mammalia
5342,Equus hemionus,Anoplocephala perfoliata,"Anoplocephala perfoliata Goeze, 1782",Cestodes,Mammalia
5343,Equus zebra,Anoplocephala perfoliata,"Anoplocephala perfoliata Goeze, 1782",Cestodes,Mammalia
5344,Homo sapiens,Anoplocephala perfoliata,"Anoplocephala perfoliata Goeze, 1782",Cestodes,Mammalia
5345,Calidris alpina,Aploparaksis brachyphallos,"Aploparaksis brachyphallos (Krabbe, 1869)",Cestodes,Aves
5346,Calidris minutilla,Aploparaksis brachyphallos,"Aploparaksis brachyphallos (Krabbe, 1869)",Cestodes,Aves
5347,Calidris alpina,Aploparaksis brachyphallos,"Aploparaksis brachyphallos (Krabbe, 1869)",Cestodes,Aves
5348,Gallinago gallinago,Aploparaksis brachyphallos,"Aploparaksis brachyphallos (Krabbe, 1869)",Cestodes,Aves
5349,Limnodromus scolopaceus,Aploparaksis brachyphallos,"Aploparaksis brachyphallos (Krabbe, 1869)",Cestodes,Aves
5350,Scolopax rusticola,Aploparaksis brachyphallos,"Aploparaksis brachyphallos (Krabbe, 1869)",Cestodes,Aves
5351,Tringa glareola,Aploparaksis brachyphallos,"Aploparaksis brachyphallos (Krabbe, 1869)",Cestodes,Aves
5352,Actitis hypoleucos,Aploparaksis brachyphallos,"Aploparaksis brachyphallos (Krabbe, 1869)",Cestodes,Aves
5353,Xema sabini,Aploparaksis brachyphallos,"Aploparaksis brachyphallos (Krabbe, 1869)",Cestodes,Aves
5354,Calidris alpina,Aploparaksis brachyphallos,"Aploparaksis (Aploparaksis) brachyphallos (Krabbe, 1869)",Cestodes,Aves
5355,Calidris minuta,Aploparaksis brachyphallos,"Aploparaksis (Aploparaksis) brachyphallos (Krabbe, 1869)",Cestodes,Aves
5356,Calidris testacea,Aploparaksis brachyphallos,"Aploparaksis (Aploparaksis) brachyphallos (Krabbe, 1869)",Cestodes,NA
5357,Numenius arquata,Aploparaksis brachyphallos,"Aploparaksis (Aploparaksis) brachyphallos (Krabbe, 1869)",Cestodes,Aves
5358,Phalaropus lobatus,Aploparaksis brachyphallos,"Aploparaksis (Aploparaksis) brachyphallos (Krabbe, 1869)",Cestodes,Aves
5359,Tringa totanus,Aploparaksis brachyphallos,"Aploparaksis (Aploparaksis) brachyphallos (Krabbe, 1869)",Cestodes,Aves
5360,Aegialithes cantianus,Aploparaksis crassirostris,"Aploparaksis crassirostris (Krabbe, 1869)",Cestodes,NA
5361,Calidris alpina,Aploparaksis crassirostris,"Aploparaksis crassirostris (Krabbe, 1869)",Cestodes,Aves
5362,Calidris minuta,Aploparaksis crassirostris,"Aploparaksis crassirostris (Krabbe, 1869)",Cestodes,Aves
5363,Calidris minutilla,Aploparaksis crassirostris,"Aploparaksis crassirostris (Krabbe, 1869)",Cestodes,Aves
5364,Gallinago gallinago,Aploparaksis crassirostris,"Aploparaksis crassirostris (Krabbe, 1869)",Cestodes,Aves
5365,Gallinago gallinago,Aploparaksis crassirostris,"Aploparaksis crassirostris (Krabbe, 1869)",Cestodes,Aves
5366,Scolopax rusticola,Aploparaksis crassirostris,"Aploparaksis crassirostris (Krabbe, 1869)",Cestodes,Aves
5367,Tachybaptus ruficollis,Aploparaksis crassirostris,"Aploparaksis crassirostris (Krabbe, 1869)",Cestodes,Aves
5368,Arenaria interpres,Aploparaksis crassirostris,"Aploparaksis (Aploparaksis) crassirostris (Krabbe, 1869)",Cestodes,Aves
5369,Calidris alpina,Aploparaksis crassirostris,"Aploparaksis (Aploparaksis) crassirostris (Krabbe, 1869)",Cestodes,Aves
5370,Calidris minuta,Aploparaksis crassirostris,"Aploparaksis (Aploparaksis) crassirostris (Krabbe, 1869)",Cestodes,Aves
5371,Calidris temminckii,Aploparaksis crassirostris,"Aploparaksis (Aploparaksis) crassirostris (Krabbe, 1869)",Cestodes,Aves
5372,Calidris testacea,Aploparaksis crassirostris,"Aploparaksis (Aploparaksis) crassirostris (Krabbe, 1869)",Cestodes,NA
5373,Charadrius alexandrinus,Aploparaksis crassirostris,"Aploparaksis (Aploparaksis) crassirostris (Krabbe, 1869)",Cestodes,Aves
5374,Charadrius asiaticus,Aploparaksis crassirostris,"Aploparaksis (Aploparaksis) crassirostris (Krabbe, 1869)",Cestodes,Aves
5375,Crex crex,Aploparaksis crassirostris,"Aploparaksis (Aploparaksis) crassirostris (Krabbe, 1869)",Cestodes,Aves
5376,Eiseniella tetraedra,Aploparaksis crassirostris,"Aploparaksis (Aploparaksis) crassirostris (Krabbe, 1869)",Cestodes,Clitellata
5377,Gallinago gallinago,Aploparaksis crassirostris,"Aploparaksis (Aploparaksis) crassirostris (Krabbe, 1869)",Cestodes,Aves
5378,Haematopus ostralegus,Aploparaksis crassirostris,"Aploparaksis (Aploparaksis) crassirostris (Krabbe, 1869)",Cestodes,Aves
5379,Lumbriculus variegatus,Aploparaksis crassirostris,"Aploparaksis (Aploparaksis) crassirostris (Krabbe, 1869)",Cestodes,Clitellata
5380,Lymnocryptes minimus,Aploparaksis crassirostris,"Aploparaksis (Aploparaksis) crassirostris (Krabbe, 1869)",Cestodes,Aves
5381,Phalaropus lobatus,Aploparaksis crassirostris,"Aploparaksis (Aploparaksis) crassirostris (Krabbe, 1869)",Cestodes,Aves
5382,Rhyacodrilus coccineus,Aploparaksis crassirostris,"Aploparaksis (Aploparaksis) crassirostris (Krabbe, 1869)",Cestodes,Clitellata
5383,Tringa glareola,Aploparaksis crassirostris,"Aploparaksis (Aploparaksis) crassirostris (Krabbe, 1869)",Cestodes,Aves
5384,Gallinago gallinago,Aploparaksis filiformis,"Aploparaksis filiformis Spassky, 1963",Cestodes,Aves
5385,Podiceps cristatus,Aploparaksis filiformis,"Aploparaksis filiformis Spassky, 1963",Cestodes,Aves
5386,Podiceps grisegena,Aploparaksis filiformis,"Aploparaksis filiformis Spassky, 1963",Cestodes,Aves
5387,Podiceps nigricollis,Aploparaksis filiformis,"Aploparaksis filiformis Spassky, 1963",Cestodes,Aves
5388,Anas acuta,Aploparaksis furcigera,"Aploparaksis furcigera (Rudolphi, 1819)",Cestodes,Aves
5389,Anas clypeata,Aploparaksis furcigera,"Aploparaksis furcigera (Rudolphi, 1819)",Cestodes,Aves
5390,Anas crecca,Aploparaksis furcigera,"Aploparaksis furcigera (Rudolphi, 1819)",Cestodes,Aves
5391,Anas discors,Aploparaksis furcigera,"Aploparaksis furcigera (Rudolphi, 1819)",Cestodes,Aves
5392,Anas falcata,Aploparaksis furcigera,"Aploparaksis furcigera (Rudolphi, 1819)",Cestodes,Aves
5393,Anas formosa,Aploparaksis furcigera,"Aploparaksis furcigera (Rudolphi, 1819)",Cestodes,Aves
5394,Anas penelope,Aploparaksis furcigera,"Aploparaksis furcigera (Rudolphi, 1819)",Cestodes,Aves
5395,Anas platyrhynchos,Aploparaksis furcigera,"Aploparaksis furcigera (Rudolphi, 1819)",Cestodes,Aves
5396,Anas platyrhynchos,Aploparaksis furcigera,"Aploparaksis furcigera (Rudolphi, 1819)",Cestodes,Aves
5397,Anas poecilorhyncha,Aploparaksis furcigera,"Aploparaksis furcigera (Rudolphi, 1819)",Cestodes,Aves
5398,Anas querquedula,Aploparaksis furcigera,"Aploparaksis furcigera (Rudolphi, 1819)",Cestodes,Aves
5399,Anas rubripes,Aploparaksis furcigera,"Aploparaksis furcigera (Rudolphi, 1819)",Cestodes,Aves
5400,Anas strepera,Aploparaksis furcigera,"Aploparaksis furcigera (Rudolphi, 1819)",Cestodes,Aves
5401,Aythya collaris,Aploparaksis furcigera,"Aploparaksis furcigera (Rudolphi, 1819)",Cestodes,Aves
